id,discipline
0,Tennis
1,Boxing
2,Marathon Swimming
3,Golf
4,Rowing
5,Baseball/Softball
6,Judo
7,Sailing
8,Swimming
9,Cycling BMX Freestyle
10,Basketball
11,Handball
12,Rhythmic Gymnastics
13,Karate
14,Triathlon
15,Badminton
16,Canoe Sprint
17,Athletics
18,Cycling Track
19,Beach Volleyball
20,Skateboarding
21,Equestrian
22,Shooting
23,Diving
24,Canoe Slalom
25,Rugby Sevens
26,Artistic Gymnastics
27,Cycling Mountain Bike
28,3x3 Basketball
29,Cycling Road
30,Wrestling
31,Table Tennis
32,Taekwondo
33,Water Polo
34,Weightlifting
35,Surfing
36,Sport Climbing
37,Cycling BMX Racing
38,Trampoline Gymnastics
39,Modern Pentathlon
40,Volleyball
41,Archery
42,Artistic Swimming
43,Fencing
44,Hockey
45,Football
